Frame_ID,Sample_ID,Frame_in_Sample,Filename,MNIST_Digit,Dominant_Class,Accuracy,Accuracy_Percentage,Dominant_Class_Percentage,Total_Pixels,Correct_Pixels,Error_Pixels,Error_Percentage,Num_Classes
0,0,0,000.npz,0,4,0.9853316326530612,98.53316326530613,78.50765306122449,3136,3090,46,1.4668367346938775,2
1,0,1,000.npz,0,4,0.9824617346938775,98.24617346938776,78.50765306122449,3136,3081,55,1.7538265306122447,2
2,0,2,000.npz,0,4,0.985969387755102,98.5969387755102,78.50765306122449,3136,3092,44,1.403061224489796,2
3,0,3,000.npz,0,4,0.998405612244898,99.8405612244898,78.50765306122449,3136,3131,5,0.15943877551020408,2
4,0,4,000.npz,0,4,0.9846938775510204,98.46938775510205,78.50765306122449,3136,3088,48,1.530612244897959,2
5,0,5,000.npz,0,4,0.9920280612244898,99.20280612244898,78.50765306122449,3136,3111,25,0.7971938775510204,2
6,1,0,001.npz,0,4,0.9856505102040817,98.56505102040816,78.50765306122449,3136,3091,45,1.4349489795918369,2
7,1,1,001.npz,0,4,0.9929846938775511,99.2984693877551,78.50765306122449,3136,3114,22,0.701530612244898,2
8,1,2,001.npz,0,4,0.9869260204081632,98.69260204081633,78.50765306122449,3136,3095,41,1.3073979591836735,2
9,1,3,001.npz,0,4,0.9846938775510204,98.46938775510205,78.50765306122449,3136,3088,48,1.530612244897959,2
10,1,4,001.npz,0,4,0.9830994897959183,98.30994897959184,78.50765306122449,3136,3083,53,1.6900510204081634,2
11,1,5,001.npz,0,4,0.9872448979591837,98.72448979591837,78.50765306122449,3136,3096,40,1.2755102040816326,2
12,2,0,002.npz,0,4,0.9808673469387755,98.08673469387756,78.50765306122449,3136,3076,60,1.913265306122449,2
13,2,1,002.npz,0,4,0.9885204081632653,98.85204081632652,78.50765306122449,3136,3100,36,1.1479591836734695,2
14,2,2,002.npz,0,4,0.9872448979591837,98.72448979591837,78.50765306122449,3136,3096,40,1.2755102040816326,2
15,2,3,002.npz,0,4,0.9815051020408163,98.15051020408163,78.50765306122449,3136,3078,58,1.8494897959183674,2
16,2,4,002.npz,0,4,0.9955357142857143,99.55357142857143,78.50765306122449,3136,3122,14,0.4464285714285714,2
17,2,5,002.npz,0,4,0.9993622448979592,99.93622448979592,78.50765306122449,3136,3134,2,0.06377551020408163,2
18,3,0,003.npz,0,4,0.9929846938775511,99.2984693877551,78.50765306122449,3136,3114,22,0.701530612244898,2
19,3,1,003.npz,0,4,0.9996811224489796,99.96811224489795,78.50765306122449,3136,3135,1,0.03188775510204082,2
20,3,2,003.npz,0,4,0.9910714285714286,99.10714285714286,78.50765306122449,3136,3108,28,0.8928571428571428,2
21,3,3,003.npz,0,4,0.9878826530612245,98.78826530612244,78.50765306122449,3136,3098,38,1.211734693877551,2
22,3,4,003.npz,0,4,1.0,100.0,78.50765306122449,3136,3136,0,0.0,2
23,3,5,003.npz,0,4,0.9866071428571429,98.66071428571429,78.50765306122449,3136,3094,42,1.3392857142857142,2
24,4,0,004.npz,0,4,0.9910714285714286,99.10714285714286,78.50765306122449,3136,3108,28,0.8928571428571428,2
25,4,1,004.npz,0,4,0.9968112244897959,99.6811224489796,78.50765306122449,3136,3126,10,0.31887755102040816,2
26,4,2,004.npz,0,4,0.9968112244897959,99.6811224489796,78.50765306122449,3136,3126,10,0.31887755102040816,2
27,4,3,004.npz,0,4,0.9920280612244898,99.20280612244898,78.50765306122449,3136,3111,25,0.7971938775510204,2
28,4,4,004.npz,0,4,0.9974489795918368,99.74489795918367,78.50765306122449,3136,3128,8,0.25510204081632654,2
29,4,5,004.npz,0,4,0.9936224489795918,99.36224489795919,78.50765306122449,3136,3116,20,0.6377551020408163,2
30,5,0,005.npz,0,4,0.9872448979591837,98.72448979591837,78.50765306122449,3136,3096,40,1.2755102040816326,2
31,5,1,005.npz,0,4,0.984375,98.4375,78.50765306122449,3136,3087,49,1.5625,2
32,5,2,005.npz,0,4,0.998405612244898,99.8405612244898,78.50765306122449,3136,3131,5,0.15943877551020408,2
33,5,3,005.npz,0,4,0.9885204081632653,98.85204081632652,78.50765306122449,3136,3100,36,1.1479591836734695,2
34,5,4,005.npz,0,4,0.9904336734693877,99.04336734693877,78.50765306122449,3136,3106,30,0.9566326530612245,2
35,5,5,005.npz,0,4,0.9878826530612245,98.78826530612244,78.50765306122449,3136,3098,38,1.211734693877551,2
36,6,0,006.npz,0,4,0.9977678571428571,99.77678571428571,78.50765306122449,3136,3129,7,0.2232142857142857,2
37,6,1,006.npz,0,4,0.9958545918367347,99.58545918367348,78.50765306122449,3136,3123,13,0.4145408163265306,2
38,6,2,006.npz,0,4,0.9818239795918368,98.18239795918367,78.50765306122449,3136,3079,57,1.8176020408163265,2
39,6,3,006.npz,0,4,0.9933035714285714,99.33035714285714,78.50765306122449,3136,3115,21,0.6696428571428571,2
40,6,4,006.npz,0,4,0.9907525510204082,99.07525510204081,78.50765306122449,3136,3107,29,0.9247448979591837,2
41,6,5,006.npz,0,4,0.9926658163265306,99.26658163265306,78.50765306122449,3136,3113,23,0.7334183673469388,2
42,7,0,007.npz,0,4,0.9840561224489796,98.40561224489795,78.50765306122449,3136,3086,50,1.594387755102041,2
43,7,1,007.npz,0,4,0.9837372448979592,98.37372448979592,78.50765306122449,3136,3085,51,1.6262755102040818,2
44,7,2,007.npz,0,4,0.9993622448979592,99.93622448979592,78.50765306122449,3136,3134,2,0.06377551020408163,2
45,7,3,007.npz,0,4,0.9830994897959183,98.30994897959184,78.50765306122449,3136,3083,53,1.6900510204081634,2
46,7,4,007.npz,0,4,0.9990433673469388,99.90433673469387,78.50765306122449,3136,3133,3,0.09566326530612244,2
47,7,5,007.npz,0,4,0.9821428571428571,98.21428571428571,78.50765306122449,3136,3080,56,1.7857142857142856,2
48,8,0,008.npz,0,4,0.9897959183673469,98.9795918367347,78.50765306122449,3136,3104,32,1.0204081632653061,2
49,8,1,008.npz,0,4,0.9907525510204082,99.07525510204081,78.50765306122449,3136,3107,29,0.9247448979591837,2
50,8,2,008.npz,0,4,0.9955357142857143,99.55357142857143,78.50765306122449,3136,3122,14,0.4464285714285714,2
51,8,3,008.npz,0,4,0.9815051020408163,98.15051020408163,78.50765306122449,3136,3078,58,1.8494897959183674,2
52,8,4,008.npz,0,4,0.9853316326530612,98.53316326530613,78.50765306122449,3136,3090,46,1.4668367346938775,2
53,8,5,008.npz,0,4,0.9811862244897959,98.1186224489796,78.50765306122449,3136,3077,59,1.8813775510204083,2
54,9,0,009.npz,0,4,0.9840561224489796,98.40561224489795,78.50765306122449,3136,3086,50,1.594387755102041,2
55,9,1,009.npz,0,4,0.9936224489795918,99.36224489795919,78.50765306122449,3136,3116,20,0.6377551020408163,2
56,9,2,009.npz,0,4,0.9862882653061225,98.62882653061224,78.50765306122449,3136,3093,43,1.371173469387755,2
57,9,3,009.npz,0,4,0.9936224489795918,99.36224489795919,78.50765306122449,3136,3116,20,0.6377551020408163,2
58,9,4,009.npz,0,4,0.9917091836734694,99.17091836734694,78.50765306122449,3136,3110,26,0.8290816326530612,2
59,9,5,009.npz,0,4,0.9805484693877551,98.05484693877551,78.50765306122449,3136,3075,61,1.9451530612244898,2
60,10,0,010.npz,0,4,0.9961734693877551,99.61734693877551,78.50765306122449,3136,3124,12,0.3826530612244898,2
61,10,1,010.npz,0,4,0.9926658163265306,99.26658163265306,78.50765306122449,3136,3113,23,0.7334183673469388,2
62,10,2,010.npz,0,4,0.9821428571428571,98.21428571428571,78.50765306122449,3136,3080,56,1.7857142857142856,2
63,10,3,010.npz,0,4,0.9948979591836735,99.48979591836735,78.50765306122449,3136,3120,16,0.5102040816326531,2
64,10,4,010.npz,0,4,0.9964923469387755,99.64923469387756,78.50765306122449,3136,3125,11,0.350765306122449,2
65,10,5,010.npz,0,4,0.9878826530612245,98.78826530612244,78.50765306122449,3136,3098,38,1.211734693877551,2
66,11,0,011.npz,0,4,0.9955357142857143,99.55357142857143,78.50765306122449,3136,3122,14,0.4464285714285714,2
67,11,1,011.npz,0,4,0.9866071428571429,98.66071428571429,78.50765306122449,3136,3094,42,1.3392857142857142,2
68,11,2,011.npz,0,4,0.9945790816326531,99.4579081632653,78.50765306122449,3136,3119,17,0.5420918367346939,2
69,11,3,011.npz,0,4,0.9846938775510204,98.46938775510205,78.50765306122449,3136,3088,48,1.530612244897959,2
70,11,4,011.npz,0,4,0.9811862244897959,98.1186224489796,78.50765306122449,3136,3077,59,1.8813775510204083,2
71,11,5,011.npz,0,4,0.9853316326530612,98.53316326530613,78.50765306122449,3136,3090,46,1.4668367346938775,2
72,12,0,012.npz,0,4,0.9987244897959183,99.87244897959184,78.50765306122449,3136,3132,4,0.12755102040816327,2
73,12,1,012.npz,0,4,0.9904336734693877,99.04336734693877,78.50765306122449,3136,3106,30,0.9566326530612245,2
74,12,2,012.npz,0,4,0.985969387755102,98.5969387755102,78.50765306122449,3136,3092,44,1.403061224489796,2
75,12,3,012.npz,0,4,0.9808673469387755,98.08673469387756,78.50765306122449,3136,3076,60,1.913265306122449,2
76,12,4,012.npz,0,4,0.9818239795918368,98.18239795918367,78.50765306122449,3136,3079,57,1.8176020408163265,2
77,12,5,012.npz,0,4,0.9910714285714286,99.10714285714286,78.50765306122449,3136,3108,28,0.8928571428571428,2
78,13,0,013.npz,0,4,0.9907525510204082,99.07525510204081,78.50765306122449,3136,3107,29,0.9247448979591837,2
79,13,1,013.npz,0,4,0.9987244897959183,99.87244897959184,78.50765306122449,3136,3132,4,0.12755102040816327,2
80,13,2,013.npz,0,4,0.9968112244897959,99.6811224489796,78.50765306122449,3136,3126,10,0.31887755102040816,2
81,13,3,013.npz,0,4,0.9850127551020408,98.50127551020408,78.50765306122449,3136,3089,47,1.4987244897959182,2
82,13,4,013.npz,0,4,0.9910714285714286,99.10714285714286,78.50765306122449,3136,3108,28,0.8928571428571428,2
83,13,5,013.npz,0,4,0.9904336734693877,99.04336734693877,78.50765306122449,3136,3106,30,0.9566326530612245,2
84,14,0,014.npz,0,4,1.0,100.0,78.50765306122449,3136,3136,0,0.0,2
85,14,1,014.npz,0,4,0.9878826530612245,98.78826530612244,78.50765306122449,3136,3098,38,1.211734693877551,2
86,14,2,014.npz,0,4,0.9961734693877551,99.61734693877551,78.50765306122449,3136,3124,12,0.3826530612244898,2
87,14,3,014.npz,0,4,0.985969387755102,98.5969387755102,78.50765306122449,3136,3092,44,1.403061224489796,2
88,14,4,014.npz,0,4,0.9920280612244898,99.20280612244898,78.50765306122449,3136,3111,25,0.7971938775510204,2
89,14,5,014.npz,0,4,0.9913903061224489,99.1390306122449,78.50765306122449,3136,3109,27,0.8609693877551019,2
90,15,0,015.npz,0,4,0.9869260204081632,98.69260204081633,78.50765306122449,3136,3095,41,1.3073979591836735,2
91,15,1,015.npz,0,4,0.9945790816326531,99.4579081632653,78.50765306122449,3136,3119,17,0.5420918367346939,2
92,15,2,015.npz,0,4,0.9805484693877551,98.05484693877551,78.50765306122449,3136,3075,61,1.9451530612244898,2
93,15,3,015.npz,0,4,0.9888392857142857,98.88392857142857,78.50765306122449,3136,3101,35,1.1160714285714286,2
94,15,4,015.npz,0,4,0.9897959183673469,98.9795918367347,78.50765306122449,3136,3104,32,1.0204081632653061,2
95,15,5,015.npz,0,4,0.9904336734693877,99.04336734693877,78.50765306122449,3136,3106,30,0.9566326530612245,2
96,16,0,016.npz,0,4,0.9891581632653061,98.91581632653062,78.50765306122449,3136,3102,34,1.0841836734693877,2
97,16,1,016.npz,0,4,0.9939413265306123,99.39413265306123,78.50765306122449,3136,3117,19,0.6058673469387755,2
98,16,2,016.npz,0,4,0.9910714285714286,99.10714285714286,78.50765306122449,3136,3108,28,0.8928571428571428,2
99,16,3,016.npz,0,4,0.9952168367346939,99.52168367346938,78.50765306122449,3136,3121,15,0.47831632653061223,2
